2026-07-25T06:36:02+0900 worker started
2026-07-25T06:36:03+0900 detect start 20260725_063602.jpg
2026-07-25T06:36:05+0900 detect exit=1 20260725_063602.jpg 
2026-07-25T06:36:08+0900 detect start 20260725_063605.jpg
2026-07-25T06:36:09+0900 detect exit=1 20260725_063605.jpg 
2026-07-25T06:36:11+0900 detect start 20260725_063609.jpg
2026-07-25T06:36:12+0900 detect exit=1 20260725_063609.jpg 
2026-07-25T06:36:14+0900 detect start 20260725_063612.jpg
2026-07-25T06:36:15+0900 detect exit=1 20260725_063612.jpg 
2026-07-25T06:36:17+0900 detect start 20260725_063615.jpg
2026-07-25T06:36:19+0900 detect exit=1 20260725_063615.jpg 
2026-07-25T06:36:21+0900 detect start 20260725_063619.jpg
2026-07-25T06:36:22+0900 detect exit=1 20260725_063619.jpg 
2026-07-25T06:36:25+0900 detect start 20260725_063623.jpg
2026-07-25T06:36:26+0900 detect exit=1 20260725_063623.jpg 
2026-07-25T06:36:29+0900 detect start 20260725_063627.jpg
2026-07-25T06:36:30+0900 detect exit=1 20260725_063627.jpg 
2026-07-25T06:36:33+0900 detect start 20260725_063631.jpg
2026-07-25T06:36:34+0900 detect exit=1 20260725_063631.jpg 
2026-07-25T06:36:37+0900 detect start 20260725_063635.jpg
2026-07-25T06:36:39+0900 detect exit=1 20260725_063635.jpg 
2026-07-25T06:36:41+0900 detect start 20260725_063639.jpg
2026-07-25T06:36:42+0900 detect exit=1 20260725_063639.jpg 
2026-07-25T06:36:44+0900 detect start 20260725_063642.jpg
2026-07-25T06:36:45+0900 detect exit=1 20260725_063642.jpg 
2026-07-25T06:36:48+0900 detect start 20260725_063646.jpg
2026-07-25T06:36:49+0900 detect exit=1 20260725_063646.jpg 
2026-07-25T06:36:52+0900 detect start 20260725_063650.jpg
2026-07-25T06:36:53+0900 detect exit=1 20260725_063650.jpg 
2026-07-25T06:36:56+0900 detect start 20260725_063654.jpg
2026-07-25T06:36:58+0900 detect exit=1 20260725_063654.jpg 
2026-07-25T06:36:59+0900 detect start 20260725_063657.jpg
2026-07-25T06:37:00+0900 detect exit=1 20260725_063657.jpg 
2026-07-25T06:37:03+0900 detect start 20260725_063701.jpg
2026-07-25T06:37:04+0900 detect exit=1 20260725_063701.jpg 
2026-07-25T06:37:07+0900 detect start 20260725_063705.jpg
2026-07-25T06:37:08+0900 detect exit=1 20260725_063705.jpg 
2026-07-25T06:37:11+0900 detect start 20260725_063709.jpg
2026-07-25T06:37:13+0900 detect exit=1 20260725_063709.jpg 
2026-07-25T06:37:14+0900 detect start 20260725_063712.jpg
2026-07-25T06:37:15+0900 detect exit=1 20260725_063712.jpg 
2026-07-25T06:37:18+0900 detect start 20260725_063716.jpg
2026-07-25T06:37:19+0900 detect exit=1 20260725_063716.jpg 
2026-07-25T06:37:22+0900 detect start 20260725_063720.jpg
2026-07-25T06:37:23+0900 detect exit=1 20260725_063720.jpg 
2026-07-25T06:37:26+0900 detect start 20260725_063724.jpg
2026-07-25T06:37:28+0900 detect exit=1 20260725_063724.jpg 
2026-07-25T06:37:30+0900 detect start 20260725_063727.jpg
2026-07-25T06:37:31+0900 detect exit=1 20260725_063727.jpg 
2026-07-25T06:37:32+0900 detect start 20260725_063730.jpg
2026-07-25T06:37:33+0900 detect exit=1 20260725_063730.jpg 
2026-07-25T06:37:36+0900 detect start 20260725_063734.jpg
2026-07-25T06:37:38+0900 detect exit=1 20260725_063734.jpg 
2026-07-25T06:37:40+0900 detect start 20260725_063738.jpg
2026-07-25T06:37:41+0900 detect exit=1 20260725_063738.jpg 
2026-07-25T06:37:44+0900 detect start 20260725_063742.jpg
2026-07-25T06:37:45+0900 detect exit=1 20260725_063742.jpg 
2026-07-25T06:37:47+0900 detect start 20260725_063745.jpg
2026-07-25T06:37:48+0900 detect exit=1 20260725_063745.jpg 
2026-07-25T06:37:50+0900 detect start 20260725_063748.jpg
2026-07-25T06:37:51+0900 detect exit=1 20260725_063748.jpg 
2026-07-25T06:37:55+0900 detect start 20260725_063752.jpg
2026-07-25T06:37:56+0900 detect exit=1 20260725_063752.jpg 
2026-07-25T06:37:58+0900 detect start 20260725_063756.jpg
2026-07-25T06:37:59+0900 detect exit=1 20260725_063756.jpg 
2026-07-25T06:38:02+0900 detect start 20260725_063800.jpg
2026-07-25T06:38:03+0900 detect exit=1 20260725_063800.jpg 
2026-07-25T06:38:05+0900 detect start 20260725_063803.jpg
2026-07-25T06:38:06+0900 detect exit=1 20260725_063803.jpg 
2026-07-25T06:38:09+0900 detect start 20260725_063807.jpg
2026-07-25T06:38:11+0900 detect exit=1 20260725_063807.jpg 
2026-07-25T06:38:14+0900 detect start 20260725_063811.jpg
2026-07-25T06:38:15+0900 detect exit=1 20260725_063811.jpg 
2026-07-25T06:38:17+0900 detect start 20260725_063815.jpg
2026-07-25T06:38:18+0900 detect exit=1 20260725_063815.jpg 
2026-07-25T06:38:20+0900 detect start 20260725_063818.jpg
2026-07-25T06:38:21+0900 detect exit=1 20260725_063818.jpg 
2026-07-25T06:38:23+0900 detect start 20260725_063821.jpg
2026-07-25T06:38:25+0900 detect exit=1 20260725_063821.jpg 
2026-07-25T06:38:27+0900 detect start 20260725_063824.jpg
2026-07-25T06:38:28+0900 detect exit=1 20260725_063824.jpg 
2026-07-25T06:38:30+0900 detect start 20260725_063828.jpg
2026-07-25T06:38:31+0900 detect exit=1 20260725_063828.jpg 
2026-07-25T06:38:34+0900 detect start 20260725_063832.jpg
2026-07-25T06:38:35+0900 detect exit=1 20260725_063832.jpg 
2026-07-25T06:38:38+0900 detect start 20260725_063836.jpg
2026-07-25T06:38:40+0900 detect exit=1 20260725_063836.jpg 
2026-07-25T06:38:42+0900 detect start 20260725_063839.jpg
2026-07-25T06:38:43+0900 detect exit=1 20260725_063839.jpg 
2026-07-25T06:38:45+0900 detect start 20260725_063843.jpg
2026-07-25T06:38:46+0900 detect exit=1 20260725_063843.jpg 
2026-07-25T06:38:49+0900 detect start 20260725_063847.jpg
2026-07-25T06:38:50+0900 detect exit=1 20260725_063847.jpg 
2026-07-25T06:38:53+0900 detect start 20260725_063851.jpg
2026-07-25T06:38:54+0900 detect exit=1 20260725_063851.jpg 
2026-07-25T06:38:57+0900 detect start 20260725_063855.jpg
2026-07-25T06:38:59+0900 detect exit=1 20260725_063855.jpg 
2026-07-25T06:39:01+0900 detect start 20260725_063859.jpg
2026-07-25T06:39:02+0900 detect exit=1 20260725_063859.jpg 
2026-07-25T06:39:05+0900 detect start 20260725_063903.jpg
2026-07-25T06:39:06+0900 detect exit=1 20260725_063903.jpg 
2026-07-25T06:39:08+0900 detect start 20260725_063906.jpg
2026-07-25T06:39:09+0900 detect exit=1 20260725_063906.jpg 
2026-07-25T06:39:11+0900 detect start 20260725_063909.jpg
2026-07-25T06:39:13+0900 detect exit=1 20260725_063909.jpg 
2026-07-25T06:39:15+0900 detect start 20260725_063912.jpg
2026-07-25T06:39:16+0900 detect exit=1 20260725_063912.jpg 
2026-07-25T06:39:18+0900 detect start 20260725_063916.jpg
2026-07-25T06:39:19+0900 detect exit=1 20260725_063916.jpg 
2026-07-25T06:39:22+0900 detect start 20260725_063920.jpg
2026-07-25T06:39:23+0900 detect exit=1 20260725_063920.jpg 
2026-07-25T06:39:26+0900 detect start 20260725_063924.jpg
2026-07-25T06:39:28+0900 detect exit=1 20260725_063924.jpg 
2026-07-25T06:39:30+0900 detect start 20260725_063927.jpg
2026-07-25T06:39:31+0900 detect exit=1 20260725_063927.jpg 
2026-07-25T06:39:33+0900 detect start 20260725_063931.jpg
2026-07-25T06:39:34+0900 detect exit=1 20260725_063931.jpg 
2026-07-25T06:39:37+0900 detect start 20260725_063935.jpg
2026-07-25T06:39:38+0900 detect exit=1 20260725_063935.jpg 
2026-07-25T06:39:41+0900 detect start 20260725_063939.jpg
2026-07-25T06:39:42+0900 detect exit=1 20260725_063939.jpg 
2026-07-25T06:39:44+0900 detect start 20260725_063942.jpg
2026-07-25T06:39:46+0900 detect exit=1 20260725_063942.jpg 
2026-07-25T06:39:47+0900 detect start 20260725_063945.jpg
2026-07-25T06:39:48+0900 detect exit=1 20260725_063945.jpg 
2026-07-25T06:39:51+0900 detect start 20260725_063949.jpg
2026-07-25T06:39:52+0900 detect exit=1 20260725_063949.jpg 
2026-07-25T06:39:55+0900 detect start 20260725_063953.jpg
2026-07-25T06:39:56+0900 detect exit=1 20260725_063953.jpg 
2026-07-25T06:39:58+0900 detect start 20260725_063957.jpg
2026-07-25T06:40:00+0900 detect exit=1 20260725_063957.jpg 
2026-07-25T06:40:02+0900 detect start 20260725_064000.jpg
2026-07-25T06:40:03+0900 detect exit=1 20260725_064000.jpg 
2026-07-25T06:40:05+0900 detect start 20260725_064003.jpg
2026-07-25T06:40:06+0900 detect exit=1 20260725_064003.jpg 
2026-07-25T06:40:09+0900 detect start 20260725_064007.jpg
2026-07-25T06:40:10+0900 detect exit=1 20260725_064007.jpg 
2026-07-25T06:40:13+0900 detect start 20260725_064011.jpg
2026-07-25T06:40:14+0900 detect exit=1 20260725_064011.jpg 
2026-07-25T06:40:17+0900 detect start 20260725_064015.jpg
2026-07-25T06:40:19+0900 detect exit=1 20260725_064015.jpg 
2026-07-25T06:40:21+0900 detect start 20260725_064019.jpg
2026-07-25T06:40:22+0900 detect exit=1 20260725_064019.jpg 
2026-07-25T06:40:25+0900 detect start 20260725_064023.jpg
2026-07-25T06:40:26+0900 detect exit=1 20260725_064023.jpg 
2026-07-25T06:40:29+0900 detect start 20260725_064027.jpg
2026-07-25T06:40:30+0900 detect exit=1 20260725_064027.jpg 
2026-07-25T06:40:32+0900 detect start 20260725_064030.jpg
2026-07-25T06:40:34+0900 detect exit=1 20260725_064030.jpg 
2026-07-25T06:40:36+0900 detect start 20260725_064034.jpg
2026-07-25T06:40:37+0900 detect exit=1 20260725_064034.jpg 
2026-07-25T06:40:40+0900 detect start 20260725_064038.jpg
2026-07-25T06:40:41+0900 detect exit=1 20260725_064038.jpg 
2026-07-25T06:40:44+0900 detect start 20260725_064042.jpg
2026-07-25T06:40:45+0900 detect exit=1 20260725_064042.jpg 
2026-07-25T06:40:47+0900 detect start 20260725_064045.jpg
2026-07-25T06:40:49+0900 detect exit=1 20260725_064045.jpg 
2026-07-25T06:40:51+0900 detect start 20260725_064048.jpg
2026-07-25T06:40:52+0900 detect exit=1 20260725_064048.jpg 
2026-07-25T06:40:53+0900 detect start 20260725_064051.jpg
2026-07-25T06:40:54+0900 detect exit=1 20260725_064051.jpg 
2026-07-25T06:40:56+0900 detect start 20260725_064054.jpg
2026-07-25T06:40:57+0900 detect exit=1 20260725_064054.jpg 
2026-07-25T06:40:59+0900 detect start 20260725_064057.jpg
2026-07-25T06:41:01+0900 detect exit=1 20260725_064057.jpg 
2026-07-25T06:41:03+0900 detect start 20260725_064101.jpg
2026-07-25T06:41:04+0900 detect exit=1 20260725_064101.jpg 
2026-07-25T06:41:07+0900 detect start 20260725_064105.jpg
2026-07-25T06:41:08+0900 detect exit=1 20260725_064105.jpg 
2026-07-25T06:41:11+0900 detect start 20260725_064109.jpg
2026-07-25T06:41:12+0900 detect exit=1 20260725_064109.jpg 
2026-07-25T06:41:15+0900 detect start 20260725_064113.jpg
2026-07-25T06:41:17+0900 detect exit=1 20260725_064113.jpg 
2026-07-25T06:41:19+0900 detect start 20260725_064117.jpg
2026-07-25T06:41:20+0900 detect exit=1 20260725_064117.jpg 
2026-07-25T06:41:22+0900 detect start 20260725_064120.jpg
2026-07-25T06:41:23+0900 detect exit=1 20260725_064120.jpg 
